ztfname atname nickname ebv_SF11 ebv_SF11_unc ra_ztf dec_ztf ztf_1st_alert_mjd gpeak rpeak z tmax_visual cat sptype ID gpeak_p1 rpeak_p1 rise_type decay_type tabname cind marker sigma sigma_unc Tspan mass_SS mass_SS- mass_SS+ u-r.0_SS u-r.0_SS- u-r.0_SS+ tau_SS tau_SS- tau_SS+ tage_SS tage_SS- tage_SS+ logzsol_SS logzsol_SS- logzsol_SS+ dust2_SS dust2_SS- dust2_SS+ Ebv_host_SS Ebv_host_SS+ Ebv_host_SS- lgMbh lgMbh_unc lgMbh_SS lgMbh_SS- lgMbh_SS+ lgMbh_adopt lgMbh_adopt_unc weightr weightg weightb r50 Dmax_t_Gpc Dmax_t_Mpc zmax_t Dmax_t_kpc D_Mpc lgLg Mg lgTbb lgLbb lgRbb t1/2 t1/2- t1/2+ t1/2_rise t1/2_rise- t1/2_rise+ t1/2_decay t1/2_decay- t1/2_decay+ te_rise te_rise- te_rise+ te_decay te_decay- te_decay+ wv_g_obs wv_r_obs tpeak_mjd f_loss fit_name cg cr nu_g_obs nu_r_obs lambda_Edd lambda_Edd_unc
ZTF18acaqdaa 2018iih JorahMormont 0.0423 0.0011 262.0163662 30.6920758 58400.1302546002 18.33948516845703 18.63930892944336 0.212 58460.0 ztfi TDE-He 1.0 "" "" 2.0 2.0 tab20c 0.0 o 148.63865764426595 14.424705008828113 1.6501650165016502 10.690201329030605 0.15966094314645574 0.11653208163036588 2.1696866390187974 0.13132339209776145 0.0947651586242606 0.3250923290574421 0.1850314555323117 0.5405829173410348 8.589007925434782 3.6274588167291055 2.811083914470334 -1.0199364915572677 0.650237985233546 0.42601146755330843 0.47849661132514654 0.32278698433885805 0.36546022506355536 0.12830798022200227 0.09799748257259783 0.0865547320967901 7.925910198652796 0.3492982501591424 7.618628528557931 0.35955845380207474 0.3059921305731621 7.925910198652796 0.3492982501591424 0.39927040466676744 0.5238054818315033 0.07692411350172937 1.489 1.5018140401904103 1501.8140401904104 0.29144505581244856 1501814.0401904103 1046.1186460513372 44.11022335248124 -21.68236399912098 4.219809403553253 44.59493703205677 15.431438908591625 117.72991132230707 3.8004332547369017 3.240468700939971 30.980401544809997 1.4764902085650071 2.4889323955896963 86.46155164055392 4.998812220697687 3.3014239753055534 37.39415368938728 1.6411769188135992 2.6357934877247757 142.64149463863865 6.383011895478688 4.470853642920929 4758.392167702852 6375.354436552916 58451.1297247261 0.525 1yr_pl_Tfix 1.380990165946629 0.8271465703257683 630028899330352.9 470236535056228.94 -1.427855376236522 0.3492982501591424
ZTF18acnbpmd 2018jbv SamwellTarly 0.0274 0.0009 197.6898587 8.5678292 58437.54201389989 18.565996170043945 18.96235084533691 0.34 58470.0 ztfi TDE-featureless 2.0 "" "" 1.0 2.0 tab20c 0.05263157894736842 s 0.0 0.0 1.4925373134328357 10.198453117882705 0.192205763646923 0.17001154563445198 1.9841297047762438 0.18781788565105928 0.1839853109323779 0.7089293212529175 0.5019202642794722 1.2903448781712454 7.86580358111741 3.7267014255627284 3.3763069719134506 -1.26589881692362 0.5054222815933638 0.6125426220676645 0.5512316567221481 0.3187640172436741 0.30734432037847326 0.14781174795067975 0.08241381035333877 0.08547598092015558 0.0 0.0 6.767904123272063 0.4106844292400446 0.3802648924795456 6.767904123272063 0.3954746608597951 0.22464142804986756 0.3800688230991654 0.3952897488509671 0.983 2.052763327077821 2052.763327077821 0.38125776325619143 2052763.3270778211 1795.2000956837915 44.232891524783945 -21.989034429877748 4.499172544935316 45.32587313358703 15.238180676592629 100.28272750801223 2.585611040668539 4.1784104593916425 34.42112990387402 1.3573199153452435 2.0689271035443824 65.8888641445489 1.7401009316021856 2.3021216911703704 41.357846576828905 1.6303189256145245 2.485039348660358 106.17423329755886 2.5350824288943983 3.1602795350544 4736.726786635062 6360.117237036093 58470.360363972504 0.328 1yr_pl_Tfix 2.0049180530923376 1.0063240115947583 632910597347267.5 471363100438236.0 0.4610868006744724 0.3954746608597951
ZTF19aabbnzo 2018lna CerseiLannister 0.0413 0.0004 105.8276892 23.0290953 58488.24921299983 18.664335250854492 18.904109954833984 0.0914 58505.23859950015 ztfi TDE-H+He 3.0 "" "" 1.0 1.0 tab20c 0.10526315789473684 D 0.0 0.0 1.8325087044163462 9.49924087847943 0.16506387223030927 0.12274130218043844 1.835127348241306 0.19214529799314373 0.1094094428262622 0.36702377670216585 0.221212639259632 0.5976036798341762 8.33237454001545 3.293737355764531 2.663139692520412 -1.4315264493903148 0.38563373138774604 0.4323860131673124 0.21358226164863897 0.14338890761505718 0.1626113914342439 0.05727168793837579 0.04360394348088615 0.03844947004196348 0.0 0.0 5.5582669491043974 0.5279607186287119 0.49222661356213965 5.5582669491043974 0.5100936660954257 0.11017472851251693 0.40369277009532 0.48613250139216313 1.374 0.4888846581682795 488.8846581682795 0.10579935454128041 488884.6581682795 418.28010471425046 43.20781112205313 -19.426333423050707 4.488195378517311 44.274033812335155 14.734215348802701 45.96256238936591 1.4151915139384457 1.329488495002174 15.544929149082868 0.9534892500619367 1.2567108313384772 30.23213678266133 1.1460239864670392 1.2961244018853044 18.68094829529212 1.1532599247144155 1.5114779014565514 43.60129558384483 1.6758075322928931 1.8718013553812938 4732.26878146783 6356.947574540351 58507.3116685044 0.241 1yr_exp_Tfix 1.2499087747952125 0.604538642658962 633506826945302.9 471598128637511.94 0.618884653590257 0.5100936660954257
ZTF19aaciohh 2019baf "" 0.0417 0.0008 268.0005082 65.6266546 58492.5304744998 17.854883193969727 18.02907943725586 0.089 58515.0 ztfi Unknown 4.0 "" "" 2.0 6.0 tab20c 0.15789473684210525 ^ 0.0 0.0 1.8365472910927456 10.267228669526943 0.05343949546952942 0.0422549008523756 1.7521964544562785 0.0398021564723392 0.04632738135604586 3.2345040088223995 0.9466910846298835 0.7572093041703711 10.568650952018295 2.4034201189275315 1.353887491710415 -0.5366324464179844 0.3862257266881325 0.2689896548675278 0.6273159335025007 0.1468554599913472 0.16529882532844498 0.16821360587252243 0.04432457390288674 0.039379019642124216 0.0 0.0 6.886885827616596 0.24763285044201308 0.24107824182113177 6.886885827616596 0.24435554613157243 2.543208118301516e-19 3.577297084364358e-06 0.9999964227029152 1.793 0.6685865860010763 668.5865860010764 0.14138623843881926 668586.5860010764 406.63268817337354 43.51833735170741 -20.2026489971864 4.097739974461015 43.80753534790123 15.28187692469833 50.70052871074091 0.9404226553030455 1.0276408716834666 23.185794174537804 0.9632571886786891 0.8603822628749747 27.59999999999843 0.8999999999999488 0.5999999999999659 26.474376651995215 1.3914196169947495 0.8289444605313001 41.64999999999763 1.249999999999929 0.8499999999999517 4769.178000884871 6382.929180406193 58514.16414490896 0.475 1yr_pl_2peak_Tfix 1.1104461983437472 0.725182959432097 628604044437797.5 469678496387331.06 -1.1762326893558637 0.24435554613157243
ZTF17aaazdba 2019azh JaimeLannister 0.0383 0.0005 123.3206388 22.648318 58434.460416700225 15.276869773864746 15.428118705749512 0.0222 58561.23114580009 ztfi TDE-H+He 5.0 "" "" 2.0 2.0 tab20c 0.21052631578947367 o 67.98692052850213 2.0343780058590113 1.9565642731363726 9.878552935283443 0.02963534183416705 0.03187247369113244 1.76460396135358 0.012121339335018577 0.009720447592782788 0.2921645684882148 0.03890019824724594 0.04501258722653345 2.25802233260577 0.23900105079311773 0.281880096588246 -0.6339589066309812 0.09500801455954888 0.0971661647702674 0.21018298356103335 0.04711974711007824 0.044693655787850645 0.056360177814143764 0.011984521033482914 0.012635072928776537 6.436637322079572 0.32838123713384676 6.214476807375339 0.3242740091334159 0.3249083860296413 6.436637322079572 0.32838123713384676 2.487984751464062e-184 1.2995352210650305e-30 0.9999999999760901 3.971 0.5478231483269614 547.8231483269615 0.11763244523241746 547823.1483269614 96.70002012798416 43.29798974840802 -19.651779988937932 4.464365577460922 44.30674839929545 14.798232244395626 68.94514948234772 1.313833798812766 1.5852192575984674 24.71898701864602 1.0103726083905258 1.3041158635419983 44.14194806759747 0.8939437145659568 1.0713853372922841 26.79108362496354 0.8912181816222748 1.0260865185029076 64.93464798967531 1.2643030109480407 1.5588659197389632 4732.035337015284 6356.780969101182 58561.388133734 0.652 1yr_pl_Tfix 1.0678791829132994 0.5154913486423539 633538079597463.6 471610488794911.6 -0.22677113242461644 0.32838123713384676
ZTF19aakswrb 2019bhf Varys 0.0214 0.0004 227.3165243 16.239572 58539.37192129996 18.653310775756836 18.83175468444824 0.1206 58543.50520829996 ztfi TDE-H 6.0 "" "" 1.0 2.0 tab20c 0.2631578947368421 s 0.0 0.0 1.784758165268606 10.392392534715384 0.06388552340953524 0.05336043518863498 1.9582568139929215 0.04043657314427129 0.03566393540377044 1.735578626670847 0.46538495984172634 0.34939230394743603 10.45279940398863 2.2949623587710537 1.487083167575788 -0.9549337423436002 0.43510322411964597 0.41995574792463053 0.45939829226947393 0.20478258081113299 0.1714401006061823 0.12318680133448118 0.04597134549588 0.054912069817503815 0.0 0.0 7.103419314392598 0.24321123867804387 0.235496063696932 7.103419314392598 0.23935365118748791 1.2662385246664882e-07 0.44130764419985513 0.5586922291762918 1.72 0.6308344884492958 630.8344884492958 0.13402867198012355 630834.4884492957 562.7316231224286 43.459987033565234 -20.056773201830964 4.140001130197599 43.81017301895346 15.198673448751277 39.07361482283631 1.2553045048053733 1.5467224670612083 9.92897542853844 0.868108717910852 0.6849845672540074 29.148601212373446 1.3719442185994986 1.8971861190667525 11.930707844204843 1.0311059840293577 0.8195347152277836 44.04461904146171 1.7404082221151427 2.3814265030213093 4764.6349335892355 6379.735505695396 58544.77845200487 0.207 1yr_pl_Tfix 1.174454039694894 0.7396173196127973 629203416796014.8 469913615905182.25 -1.3901285050796304 0.23935365118748791
ZTF19aaniqrr 2019cmw Davos 0.0438 0.0031 282.1644974 51.0135422 58567.51134259999 18.63123321533203 18.907987594604492 0.519 58585.3938310002 ztfi TDE-featureless 7.0 "" "" 2.0 2.0 tab20c 0.3157894736842105 D 0.0 0.0 1.3166556945358787 10.87556642994854 0.2048038135942516 0.16599259612011075 2.223242930427892 0.2443780367470223 0.11672641837564379 0.3973976484637549 0.22777858579183138 1.001197639478395 7.403190724979803 3.612847225491674 3.3857245251547585 -0.7389172278831918 0.846738667064271 0.6014440448265747 0.5784104486120124 0.3787602125104092 0.34423201010423565 0.15509969066485074 0.09230517604276542 0.1015638495768653 0.0 0.0 7.939310153145958 0.44325089338666185 0.39166356829119503 7.939310153145958 0.41745723083892844 0.4931674035298913 0.356576119975005 0.1502564764951038 0.995 3.714853573067501 3714.853573067501 0.6257138842551202 3714853.573067501 2962.7465956037627 44.68391223191764 -23.11658619771198 4.342510319357166 45.41442584154476 15.595781481727792 42.94832110258308 0.7312090983908845 0.7138128413085667 13.986790979210438 0.26037121795089746 0.28886635709018016 28.899056842876064 0.5264378871947031 0.6522047100760773 16.526272066860184 0.20518286567292776 0.20231559321331005 44.34211194162283 0.6396731089770071 0.8790432578641543 4755.3612046980525 6373.2288570332385 58588.81848936606 0.288 1yr_pl_Tfix 2.2273049868440693 1.3018232391478248 630430465941936.1 470393366886803.56 -0.6217665212416961 0.41745723083892844
ZTF19aapreis 2019dsg BranStark 0.0874 0.0017 314.2623552 14.2044787 58582.464907399844 17.846595764160156 17.961013793945312 0.0512 58607.46966439998 ztfi TDE-H+He 8.0 "" "" 1.0 1.0 tab20c 0.3684210526315789 ^ 86.88928566516992 3.9198614733675115 1.9025875190258754 10.342177986130986 0.0477634181253066 0.05532148340531862 2.1188718478759494 0.04055369421116728 0.04333215805994106 0.4894202581516577 0.0903681350192801 0.1271384185931861 4.2981589815299035 0.6936117861827533 0.9632532606816078 0.10586506489305067 0.0682358855275271 0.047171837957195956 0.049695710801249876 0.03637253903167377 0.056453250664708576 0.01332581282226108 0.01513783462268482 0.00975322898478956 6.903712437355542 0.3235373664503041 7.01654814534159 0.23560745433985955 0.24050511016778345 6.903712437355542 0.3235373664503041 0.25586888600533403 0.7440798536953679 5.126029929930108e-05 2.463 0.4655182522341215 465.5182522341215 0.10106171534919979 465518.2522341215 227.82065490612598 43.17675907790419 -19.348703312678353 4.405253865805224 44.04701948322371 14.78659120967115 63.11377790429111 2.7981945096601706 2.1128726739838015 19.722315840885397 1.9797724135001964 2.2511237707632965 43.06122057394412 1.0804991953594012 1.0363623546903185 23.7010179569348 2.375216242825452 2.7034902145997464 62.1031124119339 1.5572621381029492 1.4984610520271104 4736.005907562627 6359.606085360661 58606.97451601406 0.526 1yr_exp_Tfix 1.1320217708052887 0.5648093660036827 633006934221261.1 471400986124124.7 -0.9535751637723351 0.3235373664503041
ZTF19aarioci 2019ehz Brienne 0.0147 0.0016 212.4245268 55.4911223 58596.19440970011 18.056806564331055 18.31061363220215 0.074 58622.18170139985 ztfi TDE-H 9.0 "" "" 2.0 6.0 tab20c 0.42105263157894735 o 0.0 0.0 1.8621973929236497 9.646794259099156 0.15722888000182955 0.12774938461057594 1.931246507120198 0.03667015559062037 0.054817014046375734 0.7562852592895077 0.5798066838172538 0.6707195174224885 6.078946051962372 3.050534575357577 4.177147537376515 -1.3639126979224283 0.4559601047093982 0.5254727035525006 0.4841635145007978 0.22904008157265326 0.15013652560447938 0.129827549814288 0.04025883131023818 0.061416673725407774 0.0 0.0 5.813534297576524 0.4784797666214462 0.45144156649668254 5.813534297576524 0.4649606665590644 0.007624092688173139 0.95104514509397 0.04133076221785627 1.723 0.5213190877974714 521.3190877974714 0.112331587474316 521319.08779747144 334.62557732249167 43.279360918226416 -19.605207913483923 4.2910107663553845 43.90177442096435 14.94245487744115 43.71534488822156 0.9658219709000093 0.6514645365208054 15.690627910086857 0.8416458931485735 0.717416319596456 28.0 1.0 0.0 18.720219374381983 0.9345281939328451 0.7892857618267755 41.0 1.0 1.0 4745.177508421043 6366.080587022121 58618.690453327734 0.38 1yr_pl_2peak_Tfix 1.1592173267506858 0.6237325446223434 631783442174655.0 470921556681447.4 -0.008642086252670822 0.4649606665590644
ZTF19abzrhgq 2019qiz Melisandre 0.0939 0.0088 71.6578313 -10.2263602 58745.49981479999 15.788168907165527 15.816839218139648 0.01513 58763.45856480021 ztfi TDE-H+He 10.0 "" "" 1.0 4.0 tab20c 0.47368421052631576 s 69.7 2.3 1.970191010018421 10.277723013302694 0.061131684885626925 0.03944859192012551 2.357964450849815 0.05510517603066001 0.04265267664392969 0.26027824426431323 0.12571384458436374 0.33706443332633107 10.945071361822677 1.876527185682832 1.1597125371145118 -0.4140533862303067 0.1824518374093133 0.14377861325826685 0.12416182923555209 0.09039009668917901 0.11693611292034549 0.0332937645801999 0.03135620213123339 0.02423793703813541 6.484016998190779 0.3281936190628408 6.905041042348644 0.2515544471971013 0.23822772667515174 6.484016998190779 0.3281936190628408 0.9999971267058994 2.8732941016316987e-06 1.740644570702977e-17 9.888 0.32217668390072324 322.1766839007232 0.07137740178376088 322176.68390072323 65.55374506208375 42.8985649188294 -18.653217914991387 4.231416209817198 43.404689379110906 14.813101469590801 29.535763679183 0.701938587445678 0.7179209803476461 11.599406677349961 0.2711157188643565 0.33658314654229926 17.91959299829159 0.7597832845570345 0.7064955882028094 13.941170732990447 0.32212611829356597 0.40234177308462016 26.648923222290545 0.9902948228497337 0.9259506815085707 4748.4518741541915 6368.381454917431 58766.497306876205 0.545 1yr_pl_plateau_Tfix 1.0322657259718058 0.5704634824877858 631347786489675.5 470751414817514.1 -1.1762098287203742 0.3281936190628408
